text,label
Give me groundwater data for Visakhapatnam,predict_gwl
Show water level info for Visakhapatnam,predict_gwl
What is the groundwater level in Vizianagaram?,predict_gwl
Give me groundwater data for Vizianagaram,predict_gwl
Show water level info for Vizianagaram,predict_gwl
What is the groundwater level in Srikakulam?,predict_gwl
Give me groundwater data for Srikakulam,predict_gwl
Show water level info for Srikakulam,predict_gwl
What is the groundwater level in Nandyal?,predict_gwl
Give me groundwater data for Nandyal,predict_gwl
Show water level info for Nandyal,predict_gwl
What is the groundwater level in Annamayya?,predict_gwl
Give me groundwater data for Annamayya,predict_gwl
Show water level info for Annamayya,predict_gwl
What is the groundwater level in Bapatla?,predict_gwl
Give me groundwater data for Bapatla,predict_gwl
Show water level info for Bapatla,predict_gwl
What is the groundwater level in Eluru?,predict_gwl
Give me groundwater data for Eluru,predict_gwl
Show water level info for Eluru,predict_gwl
What is the groundwater level in Kakinada?,predict_gwl
Give me groundwater data for Kakinada,predict_gwl
Show water level info for Kakinada,predict_gwl
What is the groundwater level in Konaseema?,predict_gwl
Give me groundwater data for Konaseema,predict_gwl
Show water level info for Konaseema,predict_gwl
What is the groundwater level in Palnadu?,predict_gwl
Give me groundwater data for Palnadu,predict_gwl
Show water level info for Palnadu,predict_gwl
What is the groundwater level in Parvathipuram Manyam?,predict_gwl
Give me groundwater data for Parvathipuram Manyam,predict_gwl
Show water level info for Parvathipuram Manyam,predict_gwl
What is the groundwater level in Sri Sathya Sai?,predict_gwl
Give me groundwater data for Sri Sathya Sai,predict_gwl
Show water level info for Sri Sathya Sai,predict_gwl
What is the groundwater level in Tirupati?,predict_gwl
Give me groundwater data for Tirupati,predict_gwl
Show water level info for Tirupati,predict_gwl
What is the groundwater level in Alluri Sitharama Raju?,predict_gwl
Give me groundwater data for Alluri Sitharama Raju,predict_gwl
Show water level info for Alluri Sitharama Raju,predict_gwl
